<keywords>=桃 花 * 甘 露 * senLen = 5	1
 ||| 灼 灼 浓 于 酒 ||| -28.076224 -19.446143 ||| -21.083473 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 玉 佩 绮 罗 丛 玉 佩 ||| -39.231740 -39.789310 ||| -37.032382 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 绮 罗 丛 映 日 ||| -40.029817 -40.838041 ||| -37.091266 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 滴 金 盘 满 县 ||| -39.830768 -38.996935 ||| -37.184944 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 滴 金 盘 满 县 ||| -39.500419 -40.686632 ||| -37.231392 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 园 中 ||| -41.664899 -37.392827 ||| -37.244589 ||| PAZZPPA ||| APAZPPZ ||| 1
 ||| 凌 空 沆 瀣 清 红 脸 ||| -40.495565 -39.180788 ||| -37.277711 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 叶 底 发 清 香 烂 熳 ||| -38.563718 -36.933759 ||| -37.324708 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 有 意 娇 春 态 不 言 ||| -41.798476 -38.530782 ||| -37.344826 ||| ZZPPZAP ||| AZPPZZP ||| 2
 ||| 烂 熳 拂 曙 氛 埃 敛 ||| -44.251686 -37.498896 ||| -37.409550 ||| ZAZZPPZ ||| APAZPPZ ||| 1
 ||| 玉 佩 和 风 绿 间 红 ||| -39.364632 -39.101343 ||| -37.558483 ||| ZZAPZAP ||| AZPPZZP ||| 2
 ||| 照 水 和 风 绿 间 红 ||| -39.378773 -38.820073 ||| -37.578368 ||| ZZAPZAP ||| AZPPZZP ||| 2
 ||| 玉 佩 滴 金 盘 照 日 ||| -37.671853 -41.608106 ||| -37.589480 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 滴 金 盘 照 日 ||| -38.185551 -39.918409 ||| -37.610836 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 滴 金 盘 灼 灼 ||| -36.920774 -42.654776 ||| -37.646885 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 照 水 ||| -38.324656 -40.089813 ||| -37.701620 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 映 日 ||| -36.605221 -41.902213 ||| -37.710854 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 润 叶 ||| -36.462140 -45.265309 ||| -37.724855 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 拂 曙 氛 埃 敛 武 陵 ||| -42.646403 -37.911853 ||| -37.748331 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 照 水 滴 金 盘 灼 灼 ||| -37.665663 -40.965079 ||| -37.752698 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 临 风 烂 熳 渐 流 霞 ||| -37.040321 -40.103901 ||| -37.763558 ||| PPZAAPP ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 夭 夭 ||| -41.111641 -38.244098 ||| -37.763662 ||| PAZZPAA ||| APAZPPZ ||| 1
 ||| 照 日 滴 金 盘 照 水 ||| -37.750527 -42.870308 ||| -37.814785 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 多 情 上 玉 肌 ||| -37.207894 -39.636417 ||| -37.840354 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 倾 国 倾 城 禹 锡 诗 ||| -43.662414 -39.488680 ||| -37.858522 ||| PZPPZZP ||| AZPPZZP ||| 2
 ||| 烂 熳 有 意 娇 春 态 ||| -39.200953 -41.039009 ||| -37.895706 ||| ZAZZPPZ ||| APAZPPZ ||| 1
 ||| 霞 脸 笑 春 风 玉 佩 ||| -43.670158 -37.224630 ||| -37.899334 ||| PZZPPZZ ||| AZAPPZZ ||| 3
 ||| 叶 底 发 清 香 玉 佩 ||| -37.459616 -40.457331 ||| -37.945579 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 和 风 绿 间 红 ||| -37.698238 -40.827961 ||| -37.947598 ||| ZAAPZAP ||| AZPPZZP ||| 2
 ||| 照 水 笑 春 风 雨 濯 ||| -37.992250 -40.582521 ||| -38.012844 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烟 滋 霞 脸 笑 春 风 ||| -40.186850 -42.506425 ||| -38.049385 ||| PPPZZPP ||| APAZZPP ||| 0
 ||| 拂 曙 氛 埃 敛 茜 裙 ||| -41.760778 -37.927676 ||| -38.077910 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 玉 佩 滴 金 盘 玉 聚 ||| -40.579797 -42.020034 ||| -38.111489 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 霞 脸 笑 春 风 五 色 ||| -42.917295 -39.172679 ||| -38.123736 ||| PZZPPZZ ||| AZAPPZZ ||| 3
 ||| 叶 底 发 清 香 满 县 ||| -39.573715 -38.537775 ||| -38.264075 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 绮 罗 丛 满 县 ||| -39.665454 -42.206490 ||| -38.280508 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 日 和 风 绿 间 红 ||| -40.582064 -38.360787 ||| -38.284806 ||| ZZAPZAP ||| AZPPZZP ||| 2
 ||| 有 意 娇 春 态 洛 阳 ||| -41.178607 -39.595454 ||| -38.289656 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 有 意 娇 春 态 烂 熳 ||| -40.800412 -39.666953 ||| -38.303083 ||| ZZPPZZA ||| AZPPZZP ||| 2
 ||| 烂 熳 含 晓 露 烟 滋 ||| -43.073959 -44.094864 ||| -38.317286 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 照 水 滴 金 盘 玉 聚 ||| -41.148017 -40.330336 ||| -38.414371 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 霞 脸 笑 春 风 灼 灼 ||| -42.944185 -38.660598 ||| -38.438907 ||| PZZPPZZ ||| AZAPPZZ ||| 3
 ||| 一 种 天 香 类 浣 纱 ||| -38.480553 -40.827541 ||| -38.613548 ||| ZZPPZAP ||| AZPPZZP ||| 2
 ||| 烂 熳 绮 罗 丛 照 水 ||| -41.215788 -40.833939 ||| -38.630450 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 笑 春 风 雨 濯 ||| -38.270949 -41.482863 ||| -38.638291 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 无 双 艳 ||| -45.198896 -40.694180 ||| -38.706419 ||| PPPZPPZ ||| APAZPPZ ||| 1
 ||| 拂 曙 氛 埃 敛 映 霞 ||| -41.911797 -40.784925 ||| -38.770105 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 霞 脸 笑 春 风 似 笑 ||| -42.665690 -41.736556 ||| -38.770378 ||| PZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 笑 春 风 照 日 ||| -41.691088 -38.436037 ||| -38.834056 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 枝 间 留 紫 燕 ||| -36.501291 -43.309561 ||| -38.836109 ||| ZAPAPZA ||| AZAPPZZ ||| 3
 ||| 临 风 烂 熳 比 祥 云 ||| -37.862605 -41.452479 ||| -38.845356 ||| PPZAZPP ||| APAZZPP ||| 0
 ||| 照 水 绮 罗 丛 照 水 ||| -43.654220 -38.316572 ||| -38.858015 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 拂 曙 氛 埃 敛 夭 夭 ||| -43.564197 -37.969012 ||| -38.922895 ||| ZZPPZAA ||| AZPPZZP ||| 2
 ||| 霞 脸 笑 春 风 满 县 ||| -44.845618 -38.155491 ||| -38.942863 ||| PZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 绮 罗 丛 照 日 ||| -41.312732 -41.168427 ||| -39.002049 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 唐 苑 ||| -44.451926 -39.620163 ||| -39.049929 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 照 水 滴 金 盘 映 日 ||| -39.283007 -42.147904 ||| -39.083034 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 日 多 情 上 玉 肌 ||| -38.454888 -41.696555 ||| -39.119808 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 烟 滋 第 一 花 溪 畔 ||| -42.662392 -38.462165 ||| -39.131967 ||| PPZZPPZ ||| APAZPPZ ||| 1
 ||| 照 日 滴 金 盘 灼 灼 ||| -39.024288 -44.251465 ||| -39.140787 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 笑 春 风 照 日 ||| -41.401347 -39.336379 ||| -39.147701 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 滴 金 盘 映 日 ||| -39.110380 -43.837601 ||| -39.263882 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烟 滋 拂 曙 氛 埃 敛 ||| -42.163143 -40.252216 ||| -39.281133 ||| PPZZPPZ ||| APAZPPZ ||| 1
 ||| 照 水 绮 罗 丛 照 日 ||| -43.983463 -38.651060 ||| -39.303433 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 绮 罗 丛 照 水 ||| -43.041507 -41.294727 ||| -39.363345 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 类 浣 纱 ||| -48.011755 -38.984625 ||| -39.372682 ||| PPPZZAP ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 膏 被 ||| -44.848302 -42.125188 ||| -39.402996 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 拂 曙 氛 埃 敛 瘦 红 ||| -44.103459 -40.915863 ||| -39.442631 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 施 朱 施 粉 凝 风 草 ||| -47.579781 -41.397993 ||| -39.516537 ||| PPPZPPZ ||| APAZPPZ ||| 1



